Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
8020,HOUSE,MIXED_USE_BUILDING,539000.0,4.0,,1,0,3.0,0,,1,,0,BUY_REGULAR,,0,20364158,1177.0,968.0
2650,APARTMENT,APARTMENT,209000.0,2.0,96.0,1,0,2.0,0,,1,3.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20198268,877.0,
4460,HOUSE,BUNGALOW,230000.0,2.0,133.0,1,0,3.0,1,250.0,1,40.0,0,BUY_REGULAR,JUST_RENOVATED,1,20364148,835.0,406.0
2800,HOUSE,APARTMENT_BLOCK,850000.0,6.0,267.0,0,0,2.0,0,,1,6.0,0,BUY_REGULAR,GOOD,0,20364149,,
4032,HOUSE,HOUSE,149000.0,2.0,82.0,1,0,2.0,1,48.0,1,,0,BUY_REGULAR,GOOD,0,20364154,,80.0
3920,HOUSE,HOUSE,325000.0,3.0,148.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20364147,1.0,1970.0
2340,HOUSE,HOUSE,278000.0,3.0,158.0,1,0,3.0,0,,0,,0,BUY_REGULAR,GOOD,0,20197154,,808.0
8800,HOUSE,HOUSE,265000.0,4.0,,1,0,3.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364143,668.0,224.0
1050,HOUSE,APARTMENT_BLOCK,1090000.0,,186.0,1,0,3.0,0,,0,,0,BUY_REGULAR,GOOD,0,20364146,,50.0
9470,APARTMENT,APARTMENT,199000.0,2.0,88.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20364137,794.0,
9473,APARTMENT,APARTMENT,199000.0,2.0,88.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20364136,794.0,
2880,APARTMENT,APARTMENT,375000.0,3.0,105.0,1,0,,0,,1,38.0,0,BUY_REGULAR,AS_NEW,0,20364128,835.0,
9660,HOUSE,HOUSE,346305.0,3.0,147.0,1,0,3.0,1,170.0,1,45.0,0,BUY_REGULAR,AS_NEW,0,20364132,,264.0
2880,HOUSE,HOUSE,315000.0,3.0,128.0,0,0,2.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364127,681.0,225.0
3890,HOUSE,HOUSE,385000.0,3.0,194.0,1,0,4.0,0,,0,,0,BUY_REGULAR,GOOD,0,20364126,520.0,868.0
1500,HOUSE,HOUSE,325000.0,2.0,101.0,1,0,2.0,1,32.0,1,14.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20364120,354.0,170.0
4000,APARTMENT,APARTMENT,199000.0,2.0,99.0,1,0,2.0,0,,1,7.0,0,BUY_REGULAR,GOOD,0,20364125,1080.0,
4000,HOUSE,MIXED_USE_BUILDING,299000.0,2.0,140.0,1,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,20364118,2139.0,
